일자,제휴사명,년월,년,월,일,요일,주차,기간,매체,디바이스,상품,노출,클릭,목표 광고비,집행 광고비,목표 결제금액,결제거래액,결제순매출액,목표 결제건수,결제건수,목표CPP,CPP,목표UV(D),UV(D),목표 증분UV,증분 UV,제휴사명2,제휴사명3,디바이스2
2024-01-01,네이버_PC_BS,2024-01,2024,1,1,월,1,2024-01-01~2024-01-07,NAVER,PC,BR,11094,5133,1016499,1016499,26922680,26922680,1681253,469,323,2167,3147,0,0,0,0,01_네이버_BS,01_네이버_PC_BS,01_PC
2024-01-01,네이버_M_BS,2024-01,2024,1,1,월,1,2024-01-01~2024-01-07,NAVER,MOBILE,BR,30867,10749,1431332,1431332,64066250,64066250,3261033,843,702,1698,2039,0,3259,0,3259,01_네이버_BS,02_네이버_M_BS,02_MC
2024-01-01,다음_PC_S,2024-01,2024,1,1,월,1,2024-01-01~2024-01-07,DAUM,PC,SA,198289,1917,306338,306338,884480,884480,85176,56,30,5470,10211,0,0,0,0,03_다음_S,05_다음_PC_S,01_PC
2024-01-01,다음_M_S,2024-01,2024,1,1,월,1,2024-01-01~2024-01-07,DAUM,MOBILE,SA,587312,9464,1197076,1197076,6917550,6917550,387465,127,108,9426,11084,0,3395,0,3395,03_다음_S,06_다음_M_S,02_MC
2024-01-01,네이버_PC_S,2024-01,2024,1,1,월,1,2024-01-01~2024-01-07,NAVER,PC,SA,4046815,6922,1442177,1442177,19194813,19194813,844165,176,153,8194,9426,0,0,0,0,02_네이버_S,03_네이버_PC_S,01_PC
2024-01-01,네이버_M_S,2024-01,2024,1,1,월,1,2024-01-01~2024-01-07,NAVER,MOBILE,SA,25514819,42284,9365832,9365832,57611530,57611530,1654574,574,482,16317,19431,0,19173,0,19173,02_네이버_S,04_네이버_M_S,02_MC
2024-01-01,구글_PC_S,2024-01,2024,1,1,월,1,2024-01-01~2024-01-07,GOOGLE,PC,SA,112704,5774,1210289,1210289,39302940,39302940,2267063,308,393,3930,3080,0,0,0,0,04_구글_S,07_구글_PC_S,01_PC
2024-01-01,구글_PC_S_쇼핑,2024-01,2024,1,1,월,1,2024-01-01~2024-01-07,GOOGLE,PC,SH,900259,4132,461572,461572,10602200,10602200,768442,89,94,5186,4910,0,0,0,0,07_구글_쇼핑,13_구글_PC_S_쇼핑,01_PC
2024-01-01,구글_M_S,2024-01,2024,1,1,월,1,2024-01-01~2024-01-07,GOOGLE,MOBILE,SA,705596,15283,2268047,2268047,25097410,25097410,1243311,322,308,7044,7364,0,6259,0,6259,04_구글_S,08_구글_M_S,02_MC
2024-01-01,구글_M_S_쇼핑,2024-01,2024,1,1,월,1,2024-01-01~2024-01-07,GOOGLE,MOBILE,SH,3109198,12379,1094796,1094796,14698060,14698060,285258,227,144,4823,7603,0,4408,0,4408,07_구글_쇼핑,14_구글_M_S_쇼핑,02_MC
2024-01-01,네이트_PC_S,2024-01,2024,1,1,월,1,2024-01-01~2024-01-07,NATE,PC,SA,612761,995,1225806,1225806,2465906,2270280,169840,63,37,19457,33130,0,0,0,0,05_네이트,09_네이트_PC_S,01_PC
2024-01-01,네이트_M_S,2024-01,2024,1,1,월,1,2024-01-01~2024-01-07,NATE,MOBILE,SA,60221,45,0,0,129785,281970,19830,3,6,0,0,0,75,0,75,05_네이트,10_네이트_M_S,02_MC
2024-01-01,네이버_PC_S_쇼핑,2024-01,2024,1,1,월,1,2024-01-01~2024-01-07,NAVER,PC,SH,40510,624,106248,106248,2685380,2685380,-202714,19,10,5592,10625,0,0,0,0,06_네이버_쇼핑,11_네이버_PC_S_쇼핑,01_PC
2024-01-01,네이버_M_S_쇼핑,2024-01,2024,1,1,월,1,2024-01-01~2024-01-07,NAVER,MOBILE,SH,563402,5026,476539,476539,7889940,7889940,68137,89,60,5354,7942,0,2,0,2,06_네이버_쇼핑,12_네이버_M_S_쇼핑,02_MC
2024-01-01,틱톡_M_S,2024-01,2024,1,1,월,1,2024-01-01~2024-01-07,TIKTOK,MOBILE,SH,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,14_틱톡,23_틱톡_M_S,02_MC
2024-01-01,네이트_PC_BS,2024-01,2024,1,1,월,1,2024-01-01~2024-01-07,NATE,PC,BR,0,0,0,0,0,43440,4118,0,1,0,0,0,0,0,0,05_네이트,09_네이트_PC_BS,01_PC
2024-01-01,네이트_M_BS,2024-01,2024,1,1,월,1,2024-01-01~2024-01-07,NATE,MOBILE,BR,0,0,0,0,0,0,0,0,0,0,0,0,93,0,93,05_네이트,10_네이트_M_S,02_MC
2024-01-02,네이버_PC_BS,2024-01,2024,1,2,화,1,2024-01-01~2024-01-07,NAVER,PC,BR,31994,14959,1016499,1016499,107606393,107606393,7283672,1197,946,849,1075,0,0,0,0,01_네이버_BS,01_네이버_PC_BS,01_PC
2024-01-02,네이버_M_BS,2024-01,2024,1,2,화,1,2024-01-01~2024-01-07,NAVER,MOBILE,BR,38613,13441,1431332,1431332,107938260,107938260,2695559,928,758,1542,1888,0,3809,0,3321,01_네이버_BS,02_네이버_M_BS,02_MC
2024-01-02,다음_PC_S,2024-01,2024,1,2,화,1,2024-01-01~2024-01-07,DAUM,PC,SA,512200,3600,593409,593409,4687860,4687860,409873,147,68,4037,8727,0,0,0,0,03_다음_S,05_다음_PC_S,01_PC
2024-01-02,다음_M_S,2024-01,2024,1,2,화,1,2024-01-01~2024-01-07,DAUM,MOBILE,SA,536696,8728,1083713,1083713,7855180,7855180,461183,164,100,6608,10837,0,3138,0,2964,03_다음_S,06_다음_M_S,02_MC
2024-01-02,네이버_PC_S,2024-01,2024,1,2,화,1,2024-01-01~2024-01-07,NAVER,PC,SA,9510139,15586,4333748,4333748,105237882,105237882,3341764,466,363,9300,11939,0,0,0,0,02_네이버_S,03_네이버_PC_S,01_PC
2024-01-02,네이버_M_S,2024-01,2024,1,2,화,1,2024-01-01~2024-01-07,NAVER,MOBILE,SA,30798243,55656,16176848,16176848,106605714,106605714,2129773,728,602,22221,26872,0,23931,0,23275,02_네이버_S,04_네이버_M_S,02_MC
2024-01-02,구글_PC_S,2024-01,2024,1,2,화,1,2024-01-01~2024-01-07,GOOGLE,PC,SA,264308,13201,3494987,3494987,82009850,82009850,5020413,873,750,4003,4660,0,1,0,1,04_구글_S,07_구글_PC_S,01_PC
2024-01-02,구글_PC_S_쇼핑,2024-01,2024,1,2,화,1,2024-01-01~2024-01-07,GOOGLE,PC,SH,1385107,8959,1178864,1178865,13923210,13923210,894665,164,135,7188,8732,0,0,0,0,07_구글_쇼핑,13_구글_PC_S_쇼핑,01_PC
2024-01-02,구글_M_S,2024-01,2024,1,2,화,1,2024-01-01~2024-01-07,GOOGLE,MOBILE,SA,620839,15340,2248489,2248489,42783070,42783070,1002505,382,332,5886,6773,0,5922,0,5561,04_구글_S,08_구글_M_S,02_MC
2024-01-02,구글_M_S_쇼핑,2024-01,2024,1,2,화,1,2024-01-01~2024-01-07,GOOGLE,MOBILE,SH,3281008,16375,1860934,1860932,14045060,14045060,626664,238,160,7819,11631,0,6290,0,5984,07_구글_쇼핑,14_구글_M_S_쇼핑,02_MC
2024-01-02,네이트_PC_S,2024-01,2024,1,2,화,1,2024-01-01~2024-01-07,NATE,PC,SA,1523164,1791,1225806,1225806,6533378,6659600,491259,97,97,12637,12637,0,0,0,0,05_네이트,09_네이트_PC_S,01_PC
2024-01-02,네이트_M_S,2024-01,2024,1,2,화,1,2024-01-01~2024-01-07,NATE,MOBILE,SA,57140,35,0,0,343862,66550,1295,5,3,0,0,0,51,0,41,05_네이트,10_네이트_M_S,02_MC
2024-01-02,네이버_PC_S_쇼핑,2024-01,2024,1,2,화,1,2024-01-01~2024-01-07,NAVER,PC,SH,100095,1633,431680,431680,8775280,8775280,-5644,48,26,8993,16603,0,0,0,0,06_네이버_쇼핑,11_네이버_PC_S_쇼핑,01_PC
2024-01-02,네이버_M_S_쇼핑,2024-01,2024,1,2,화,1,2024-01-01~2024-01-07,NAVER,MOBILE,SH,682897,7117,1251891,1251891,12276840,12276840,79100,121,60,10346,20865,0,0,0,0,06_네이버_쇼핑,12_네이버_M_S_쇼핑,02_MC
2024-01-02,틱톡_M_S,2024-01,2024,1,2,화,1,2024-01-01~2024-01-07,TIKTOK,MOBILE,SH,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,14_틱톡,23_틱톡_M_S,02_MC
2024-01-02,네이트_PC_BS,2024-01,2024,1,2,화,1,2024-01-01~2024-01-07,NATE,PC,BR,0,0,0,0,0,74350,8783,0,2,0,0,0,0,0,0,05_네이트,09_네이트_PC_BS,01_PC
2024-01-02,네이트_M_BS,2024-01,2024,1,2,화,1,2024-01-01~2024-01-07,NATE,MOBILE,BR,0,0,0,0,0,76740,3556,0,2,0,0,0,77,0,74,05_네이트,10_네이트_M_S,02_MC
2024-01-03,네이버_PC_BS,2024-01,2024,1,3,수,1,2024-01-01~2024-01-07,NAVER,PC,BR,31276,14518,1016499,1016499,111832781,111832781,8363558,1102,916,922,1110,0,0,0,0,01_네이버_BS,01_네이버_PC_BS,01_PC
2024-01-03,네이버_M_BS,2024-01,2024,1,3,수,1,2024-01-01~2024-01-07,NAVER,MOBILE,BR,40804,13976,1431332,1431332,69953265,69953265,1990890,862,656,1660,2182,0,3864,0,3054,01_네이버_BS,02_네이버_M_BS,02_MC
2024-01-03,다음_PC_S,2024-01,2024,1,3,수,1,2024-01-01~2024-01-07,DAUM,PC,SA,506479,3849,645763,645763,3625530,3625530,319033,135,68,4783,9497,0,0,0,0,03_다음_S,05_다음_PC_S,01_PC
2024-01-03,다음_M_S,2024-01,2024,1,3,수,1,2024-01-01~2024-01-07,DAUM,MOBILE,SA,515998,8939,1067297,1067297,8933350,8933350,612772,159,97,6713,11003,0,3137,0,2890,03_다음_S,06_다음_M_S,02_MC
